〒	(ゆうびん)
蒼	(ソウ)〜(あお・い)『あお『サウ
滄	(ソウ)『サウ
艙	(ソウ)『サウ
蔵	{藏}蔵。(ゾウ)(ソウ)〜(くら)(おさ・める)(かく・れる)(くらし)(くらん)(くろう)(さし)(ざ)(ろう)『かくす『ザウ
藏	{藏}蔵。(ゾウ)(ソウ)〜(くら)(おさ・める)(かく・れる)『かくす『ザウ
操	(ソウ)(サン)〜(みさお)(あやつ・る)(さお)(みさ)『サウ『みさを
曹	(ソウ)(ゾウ)〜(つかさ)(ともがら)(へや)『サウ『ザウ
漕	(ソウ)〜(こ・ぐ)(はこ・ぶ)『サウ
槽	(ソウ)〜(ふね)『うけ『おけ『サウ
艚	(ソウ)
艸	(ソウ)〜(くさ)(くさかんむり)(そうこう)
草	(ソウ)〜(くさ)(くさ)(ぐさ)(そ)(や)『サウ
草叢	くさむら
草綿	わた
草片	くさびら
冊	(サツ)(サク)〜(ふみ)
册	(サツ)(サク)〜(ふみ)
厠	{廁}厠。(シ)(ショク)〜(かわや)『かう『かは『こうや
笧	しがらみ
側	(ソク)〜(かわ)(がわ)(そば)『かたわら『かは『がは『そばめる『はた『はら
策	(サク)『むち
廁	{廁}厠。(シ)(ショク)〜(かわや)『かう『かは『こうや
測	(ソク)〜(はか・る)
惻	(ソク)(ショク)〜(いた・む)
岑	(シン)(ギン)〜(みね)
噌	(ソウ)(ショウ)(ソ)〜(かまびす・しい)
曽	{曾}曽。(ソウ)(ソ)(ゾウ)〜(かつ)(かつて)(すなわち)『ゾ『ひ『ひい
曾	{曾}曽。(ソウ)(ソ)(ゾウ)〜(かつ・て)(か・って)(すなわち)『ゾ『ひ『ひい
層	〔層〕層。(ソウ)『こし
叉	(サ)(シャ)(サイ)〜(また)
扱	(ショウ)〜(あつか・る)(あつか・い)(あつか・う)『あつかう
扠	(サ)〜(さて)(さ・す)
挿	〔插〕挿。(ソウ)〜(さ・す)(はさ・む)『サフ
插	〔插〕挿。(ソウ)〜(さ・す)(はさ・む)『サフ
茶	(チャ)(サ)〜(ちや)
查	{查}査。サ『しらべる
査	{查}査。(サ)『しらべる
靫	(ジン)(ニン)(サ)(サイ)(サツ)〜(うつぼ)(うつお)(しな・やか)(ゆぎ)『うつほ『ゆき
槎	(サ)〜(いかだ)(き・る)
察	(サツ)
檫	さつ
岔	(タ)
侘	(タ)〜(わび・しい)(ほこ・る)(わ・びる)
刹	{剎}刹。(セチ)(セツ)(サツ)
差	(サ)〜(さ・す)(さ・し)『シ
詫	(タ)〜(わび)(わび・しい)(かこつ)(わ・びる)(わび・る)(たく)
拆	(タク)(セキ)〜(さく)(ひらく)
釵	(サイ)(サ)〜(かざし)(かんざし)
犲	(サイ)〜(やまいぬ)
柴	(サイ)(シ)〜(しば)『ふし
豺	(サイ)〜(やまいぬ)
儕	(セイ)(サイ)〜(ともがら)『ばら
覘	(テン)〜(のぞ・く)(うかが・う)
辿	(テン)〜(たど・る)(たどり)
禅	{禪}禅。(ゼン)(セン)〜(しずか)(ゆず・る)
孱	(セン)(サン)〜(よわ・い)
蝉	{蟬}蝉。(セン)(ゼン)〜(せみ)『せび
廛	(テン)〜(みせ)(やしき)(たな)
潺	(セン)(サン)
嬋	(セン)
