過	EgOL_冎口辶〔CJK〕
𢻜	ACfOXc_宀丰口支〔ExtB〕
㪡	ACfOXp_宀丰口攴〔ExtA〕
𩏓	ACfOYw_宀丰口韋〔ExtB〕
𦋪	AsCiPLhL_罒十丿止廴〔ExtB〕
𤗩	ApCPkPv_片卝勹用〔ExtB〕
𢠶	AmCQi_門⺿心〔ExtB〕
𥧣	AvCRnMu_穴艹人木〔ExtB〕
𡈐	AkCRjO_囗艹亼口〔ExtB〕
𨶀	AmCRjO_門⺿亼口〔ExtB〕
𨸉	AmCRjO_门艹亼口〔ExtB〕
𡈮	AkCTuGsiUm_囗⺿土厶皿〔ExtB〕
窋	AvCU_穴屮凵〔CJK〕
𠕐	ACU_冂屮凵〔ExtB〕
𡧨	ACU_宀屮凵〔ExtB〕
𠞀	AvCUJd_穴屮凵刂〔ExtB〕
𨵯	AmCfUm_門丰皿〔ExtB〕
㝮	ACUQsXy_宀屮凵示又〔ExtA〕
𥨒	AvCUQsXy_屮凵示又〔ExtB〕
𥨺	AvCUUiXp_穴屮凵米攵〔ExtB〕
𧟦	AxC_覀丌〔ExtB〕
𡨲	ACYi_宀〔ExtB〕
牒	ApChZMu_片廿㇗木〔CJK〕
牃	ApChZMu_爿廿㇗木〔CJK〕
𨵳	AmChZMu_門廿㇗木〔ExtB〕
窦	AvCiZSbNr_穴十乛゛大〔CJK〕
	AsCiZ_罒十ㄑ〔私用区〕
牍	ApCiZSbNr_片十乛゛大〔CJK〕
將	ApDFc_爿寸〔CJK〕
⾾	Ad_鬥〔康熙部首〕
𡬐	ADhADhADh_宀且宀且宀且〔ExtB〕
𡩶	ADhANr_宀且冂大〔ExtB〕
𠱵	AkDANr_囗丶冂大〔ExtB〕
𡩕	ADBoMu_宀丶日木〔ExtB〕
𪺦	ApDvCHiBo_片月艹一日〔ExtC〕
𤕶	ApDxiCv_爿夕〔ExtB〕
𡨜	ADCgWi_宀丶廾〔ExtB〕
扅	AhuDxiDxi_户夕夕〔CJK〕
𡨆	ADxiDxiHi_宀夕夕一〔ExtB〕
𦋲	AsDxiDxiJx_罒夕夕殳〔ExtB〕
𨜽	AhuDxiDxiTe_戶夕夕阝〔ExtB〕
𥦜	AvDvDv_月月〔ExtB〕
㝖	ADxiDxi_宀夕夕〔ExtA〕
𡇘	AkDxiDxi_囗夕夕〔ExtB〕
𨴢	AmDxiDxi_門夕夕〔ExtB〕
𤖻	ApDxiDxi_片夕夕〔ExtB〕
覵	AmDvEr_門月見〔CJK〕
𧢞	AhuDvErEr_户⺝見見〔ExtB〕
𧡌	AhuDvEr_戶⺼見〔ExtB〕
顅	AhuDvEye_户⺝頁〔CJK〕
𩓧	ADhEye_宀且頁〔ExtB〕
𫖶	AhuDvEye_户⺝页〔ExtC〕
獎	ApDFcKq_爿寸犬〔CJK〕
𤖛	ApDFcBoHi_爿寸日一〔ExtB〕
将	ApDxiFc_丬夕寸〔CJK〕
㢡	ApDFcCg_爿寸廾〔ExtA〕
将	ApDxiFc_丬夕寸〔兼容增补〕
𨫥	ApDFcJr_爿寸金〔ExtB〕
螿	ApDFcKc_爿寸虫〔CJK〕
螀	ApDxiFcKc_丬夕寸虫〔CJK〕
𨄚	ApDFcLo_爿寸足〔ExtB〕
𤴠	ApDFcL_爿寸疋〔ExtB〕
𧽩	ApDFcLt_爿寸走〔ExtB〕
槳	ApDFcMu_爿寸木〔CJK〕
奬	ApDFcNr_爿寸大〔CJK〕
𡑶	ApDFcRnTu_爿寸人土〔ExtB〕
漿	ApDFcSv_爿寸水〔CJK〕
墏	ApDFcTu_爿寸土〔CJK〕
醬	ApDFcUy_爿寸酉〔CJK〕
䵼	ApDFcUaa_爿寸鼎〔ExtA〕
䊢	ApDFcUi_爿寸米〔ExtA〕
𩱑	ApDFcUli_爿寸鬲〔ExtB〕
𩝫	ApDFcUs_爿寸〔ExtB〕
𤍵	ApDFcWu_爿寸火〔ExtB〕
𫌏	ApDFcYi_爿寸衣〔ExtC〕
宔	ADGw_宀丶王〔CJK〕
罜	AsDGw_罒丶王〔CJK〕
𢨸	AhuDGw_戶丶王〔ExtB〕
𨳳	AmDGw_門丶王〔ExtB〕
𤖸	ApDGw_片丶王〔ExtB〕
宜	ADh_宀且〔CJK〕
冝	ADh_冖且〔CJK〕
𡪀	ADxiHiADxiHi_宀夕一宀夕一〔ExtB〕
𢨷	AhuDh_戶且〔ExtB〕
宐	ADxiHi_宀夕一〔CJK〕
𡧧	ADvHi_宀月一〔ExtB〕
𣦍	ADhHiLh_宀且一止〔ExtB〕
𥦰	AvDxiHiLh_夕一止〔ExtB〕
𤕲	ApDh_爿且〔ExtB〕
罝	AsDh_罒且〔CJK〕
𥥐	AvDh_且〔ExtB〕
𫆥	AhuDvIPp_户⺝亠几〔ExtC〕
𡈸	AkDIiPYs_囗言丿糸〔ExtB〕
𨷸	AmDIiPYs_門言丿糸〔ExtB〕
𨷴	AmDIiYs_門言糸〔ExtB〕
𦋒	AsDJn_罒斤〔ExtB〕
𨵐	AmDvJx_門月殳〔ExtB〕
鷳	AmDvKi_門月鳥〔CJK〕
𠮚	AkD_囗丶〔ExtB〕
𢩒	AhuDvKb_戶⺼巴〔ExtB〕
𧌜	ApDKc_爿虫〔ExtB〕
鵳	AhuDvKi_户⺝鳥〔CJK〕
𤟌	ApDKq_爿犬〔ExtB〕
𤟒	ApDKq_爿犬〔ExtB〕
𨿱	AhuDvKz_戶⺼隹〔ExtB〕
逻	AsDxiL_罒夕辶〔CJK〕
桨	ApDxiMu_丬夕木〔CJK〕
𨳉	AmD_門丶〔ExtB〕
𦠘	AhuDvMuRnRn_户⺝木人人〔ExtB〕
奖	ApDxiNr_丬夕大〔CJK〕
𪧋	ADxiNv_宀夕女〔ExtC〕
𨳿	AmDxiQbu_門夕卜〔ExtB〕
𦠰	AhuDvQbuBoCi_户⺝⺊日十〔ExtB〕
𬮡	AmDxiQbu_门夕卜〔ExtE〕
浆	ApDxiSv_丬夕水〔CJK〕
𤖅	ApDSv_爿水〔ExtB〕
𨛯	ADhTe_宀且阝〔ExtB〕
酱	ApDxiUy_丬夕酉〔CJK〕
𥧠	AvDxiUbiGy_夕匕由〔ExtB〕
𤖕	ApDUy_爿酉〔ExtB〕
𨡓	ApDUy_爿酉〔ExtB〕
閒	AmDv_門月〔CJK〕
肎	ADv_冖⺝〔CJK〕
𡧓	ADv_宀⺝〔ExtB〕
𡨋	ADhVb_宀且八〔ExtB〕
肩	AhuDv_户⺝〔CJK〕
𦙪	AhuDv_户⺝〔ExtB〕
𫔮	AmDv_门月〔ExtC〕
𦊈	AsDv_罒⺼〔ExtB〕
𦚋	AsDv_罒⺝〔ExtB〕
𥥃	AvDv_月〔ExtB〕
𧟩	AxDv_襾⺝〔ExtB〕
𤇵	ADxiWu_宀夕火〔ExtB〕
𥥿	AvDxiWu_穴夕火〔ExtB〕
察	ADXyQs_宀又示〔CJK〕
	ApDxi_丬夕〔私用区〕
𥦵	AvDvXp_月攵〔ExtB〕
𦢳	AhuDvXzPZZZWu_户⺝爫丿ヿヿヿ灬〔ExtB〕
𨶫	AmDXyQs_門又示〔ExtB〕
罗	AsDxi_罒夕〔CJK〕
穸	AvDxi_穴夕〔CJK〕
宛	ADxiZi_宀夕⺋〔CJK〕
䵫	ADxiZiBw_宀夕⺋黑〔ExtA〕
𩈱	ADxiZiEa_宀夕⺋面〔ExtB〕
𢮘	ADxiZiFs_宀夕⺋手〔ExtB〕
閬	AmDZg_門丶艮〔CJK〕
㝗	ADZg_宀丶艮〔ExtA〕
阆	AmDZg_门丶艮〔CJK〕
𤗀	ApDZg_片丶艮〔ExtB〕
䍚	AsDZg_罒丶艮〔ExtA〕
䆡	AvDZg_穴丶艮〔ExtA〕
𡫦	ADxiZiHcFc_宀夕⺋辰寸〔ExtB〕
𪞏	ADxiZi_冖夕⺋〔ExtC〕
剜	ADxiZiJd_宀夕⺋刂〔CJK〕
鵷	ADxiZiKi_宀夕⺋鳥〔CJK〕
䗕	ADxiZiKc_宀夕⺋虫〔ExtA〕
鹓	ADxiZiKi_宀夕⺋鸟〔CJK〕
𪂦	ADxiZiKi_宀夕⺋鳥〔ExtB〕
𩸪	ADxiZiKv_宀夕⺋魚〔ExtB〕
惌	ADxiZiQi_宀夕⺋心〔CJK〕
𥧉	AvDxiZiQi_穴夕⺋心〔ExtB〕
𥧫	AvDZgTe_穴丶阝〔ExtB〕
𧯳	ADxiZiUdo_宀夕⺋豆〔ExtB〕
𨵟	AmDvZiXy_門月卩又〔ExtB〕
𦋉	AsDvZiXy_罒月卩又〔ExtB〕
𧟱	AxDvZiXy_襾月卩又〔ExtB〕
𧟵	AxDvZiXy_覀月卩又〔ExtB〕
聞	AmEe_門耳〔CJK〕
𡫛	AEiAvAA_宀自⺳冂冂〔ExtB〕
㝰	AEiAvIf_宀自穴方〔ExtA〕
𤖎	ApEmuAp_爿目片〔ExtB〕
署	AsElBo_罒耂日〔CJK〕
𤗨	ApEvBa_片羽白〔ExtB〕
闍	AmElBo_門耂日〔CJK〕
阇	AmElBo_门耂日〔CJK〕
署	AsElBo_罒耂日〔兼容文字〕
𥧏	AvElBo_耂日〔ExtB〕
𨷝	AmEeBoVeRe_門耳日二儿〔ExtB〕
窟	AvEsiCU_穴尸屮凵〔CJK〕
𡨢	AEsiCiO_宀尸十口〔ExtB〕
𠟶	AvEsiCUJd_穴尸屮凵刂〔ExtB〕
𨵡	AmEsiCU_門尸屮凵〔ExtB〕
𨵙	AmEmuCv_門目〔ExtB〕
𤖈	ApEdCv_爿歺〔ExtB〕
𡧒	AEd_宀歹〔ExtB〕
𪧆	AEsiD_宀尸丶〔ExtC〕
𡲂	AEsiDh_冂尸且〔ExtB〕
𡨉	AEsiDPHz_宀尸丶丿七〔ExtB〕
𡪬	AEeDxiTe_宀耳夕阝〔ExtB〕
竁	AvEmEmEm_穴毛毛毛〔CJK〕
𡬁	AElElEl_宀老老老〔ExtB〕
𥩊	AvElElEl_老老老〔ExtB〕
𡪣	AEmEmEm_宀毛毛毛〔ExtB〕
𢀯	AEmuEmuFg_冂目目工〔ExtB〕
𢩇	AhuEe_戶耳〔ExtB〕
𨭧	AEmuEmuJr_宀目目金〔ExtB〕
𡪰	AElEl_宀老老〔ExtB〕
𡕹	AEmuEmuL_宀目目夊〔ExtB〕
𥨔	AvElEl_老老〔ExtB〕
闻	AmEe_门耳〔CJK〕
𡩏	AEsEmu_宀目〔ExtB〕
𦋋	AsEmEm_罒毛毛〔ExtB〕
𦌮	AsEmuEmuMu_罒目目木〔ExtB〕
𥧢	AvEeEm_耳毛〔ExtB〕
𥨵	AvEsEgO_身冎口〔ExtB〕
𢀰	AEmuEmuRnFg_冂目目人工〔ExtB〕
𥥯	AvEe_穴耳〔ExtB〕
𦑗	AhuEvFgRn_户羽人〔ExtB〕
賔	AEsGb_宀貝〔CJK〕
𥧨	AvEsiGb_穴尸貝〔ExtB〕
𪧴	AEvGaCCv_宀羽田艹〔ExtC〕
𥨋	AvEyaGwCg_穴牙王廾〔ExtB〕
𧢘	AEsGbEr_宀貝見〔ExtB〕
𪇧	AEsGbKi_宀貝鳥〔ExtB〕
𥧺	AvEeGsiO_穴耳厶口〔ExtB〕
𨴎	AmEh_門而〔ExtB〕
𨵱	AmEsiHgTu_門尸土〔ExtB〕
𥧊	AvEsiHgTu_尸土〔ExtB〕
𡈴	AkEmuHiWiPYs_囗目一小丿糸〔ExtB〕
𡇝	AkEi_囗自〔ExtB〕
窮	AvEsJg_穴身弓〔CJK〕
寡	AEyeJd_宀頁刀〔CJK〕
𠞛	AhuEvJd_户羽刂〔ExtB〕
𤖺	ApEdJd_片歹刂〔ExtB〕
𧣉	ApEj_片角〔ExtB〕
𧢼	ApEj_爿角〔ExtB〕
𡲡	AEsiJdRjZ_冂尸刀亼㇗〔ExtB〕
𤖏	ApEbJsi_爿疒矢〔ExtB〕
𥨃	AvEsJx_身殳〔ExtB〕
闃	AmEmuKq_門目犬〔CJK〕
𥩍	AvEyaKvBo_穴牙魚日〔ExtB〕
𨷌	AmEjKc_門角虫〔ExtB〕
阒	AmEmuKq_门目犬〔CJK〕
𤟵	AhuEmuKq_戶目犬〔ExtB〕
𨶑	AmEiKq_門自犬〔ExtB〕
𨴛	AmEl_門老〔ExtB〕
𨶐	AmEoL_門舌辶〔ExtB〕
䦩	AmEmuL_門目夊〔ExtA〕
𥥧	AvEl_老〔ExtB〕
窅	AvEmu_穴目〔CJK〕
宒	AEm_宀毛〔CJK〕
𡧟	AEmu_宀目〔ExtB〕
𡆰	AkEm_囗も〔ExtB〕
𡇌	AkEmu_囗目〔ExtB〕
閐	AmEm_門毛〔CJK〕
𨸃	AmEm_门毛〔ExtB〕
𫔝	AmEmu_門目〔ExtC〕
㲏	ApEm_片毛〔ExtA〕
𥄲	AsEmu_罒目〔ExtB〕
闑	AmEiMu_門自木〔CJK〕
𡩈	AEmuMu_宀目木〔ExtB〕
𫔶	AmEiMu_门自木〔ExtC〕
𥦃	AvEsiMu_尸木〔ExtB〕
宯	AElNz_宀耂子〔CJK〕
𨵢	AmEmuNr_門目大〔ExtB〕
䆩	AvEmuNr_穴目大〔ExtA〕
窙	AvElNz_穴耂子〔CJK〕
𨴹	AmElNz_門耂子〔ExtB〕
𫔲	AmElNz_门耂子〔ExtC〕
窩	AvEgO_穴冎口〔CJK〕
𡇜	AkEo_囗舌〔ExtB〕
䆼	AvEgOL_穴冎口辶〔ExtA〕
𨵧	AmEgO_門冎口〔ExtB〕
䦚	AmEo_門舌〔ExtA〕
竆	AvEsOO_穴身口口〔CJK〕
闢	AmEsiOUx_門尸口辛〔CJK〕
𤗺	ApEsiOUx_片尸口辛〔ExtB〕
𤖟	ApEsiOUx_爿尸口辛〔ExtB〕
𦌠	AsEsiOUx_罒尸口辛〔ExtB〕
𦍁	AsEsiOUxYs_罒尸口辛糸〔ExtB〕
窷	AvEePZi_穴耳卩〔CJK〕
𤖷	ApEp_片皮〔ExtB〕
𤿢	AxEp_西皮〔ExtB〕
𠖛	AEePZi_冖耳卩〔ExtB〕
𡪉	AEePZi_宀耳卩〔ExtB〕
𥨚	AvEsPZi_身卩〔ExtB〕
罻	AsEsiQsFc_罒尸示寸〔CJK〕
𣢖	AhuEq_户欠〔ExtB〕
𢚞	AEmuQi_冖目心〔ExtB〕
𢜇	AEmuQi_宀目心〔ExtB〕
㸝	ApEq_片欠〔ExtA〕
𥧘	AvEaQ_靣丄〔ExtB〕
寥	AEvRnY_宀羽人彡〔CJK〕
𦘫	AErr_冖肉〔ExtB〕
𢩌	AhuErr_户肉〔ExtB〕
𫁛	AvEyaRjIce_穴牙亼〔ExtC〕
𨴼	AmEr_門見〔ExtB〕
𡨳	AElRn_宀老人〔ExtB〕
覑	ApEr_片見〔CJK〕
𡪹	AEvRnQi_宀羽人⺗〔ExtB〕
𥨞	AvEvRnQi_穴羽人⺗〔ExtB〕
𥦀	AvEr_見〔ExtB〕
𫌞	AxEr_覀見〔ExtC〕
𨶟	AmEvRnXji_門羽人彐〔ExtB〕
䰘	AdEvRnY_鬥羽人彡〔ExtA〕
𨶪	AmEvRnY_門羽人彡〔ExtB〕
𥧯	AvEvRnY_羽人彡〔ExtB〕
𡰮	AEsi_冂尸〔ExtB〕
𨉖	AmEs_門身〔ExtB〕
䆤	AvEs_穴身〔ExtA〕
𥦢	AvEyaTe_牙阝〔ExtB〕
𠖪	AEaTuRuKc_冖面土入虫〔ExtB〕
𨵠	AmEsiTiU_門尸士凵〔ExtB〕
𥨪	AvEsTyi_身邑〔ExtB〕
𥥱	AvEdUbi_穴歹匕〔ExtB〕
𥥕	AvEsiUbi_穴尸匕〔ExtB〕
𫁚	AvEjUdu_角斗〔ExtC〕
𡈒	AkEdUbiQi_囗歹匕心〔ExtB〕
𥧛	AvEdUbiQi_歹心〔ExtB〕
扇	AhuEv_户羽〔CJK〕
𥧋	AvEsiVhCg_穴尸䒑廾〔ExtB〕
𤗜	ApEsiVeZXy_片二コ又〔ExtB〕
𥩉	AvEyaWsGa_穴牙⻗田〔ExtB〕
闅	AmEmuXp_門目攴〔CJK〕
䦗	AmEx_門血〔ExtA〕
𪧤	AEsXp_宀身攵〔ExtC〕
𢾥	AhuEmuXp_戶目攴〔ExtB〕
𥨂	AvEsXp_身攵〔ExtB〕
𡪅	AEeXyTe_宀耳又阝〔ExtB〕
𨝢	AEeXyTe_宀耳又阝〔ExtB〕
䆝	AvEx_穴血〔ExtA〕
冣	AEeXy_冖耳又〔CJK〕
㝡	AEeXy_宀耳又〔ExtA〕
𥦡	AvEeXy_耳又〔ExtB〕
𪞔	AvEeXy_⺳耳又〔ExtC〕
穿	AvEya_穴牙〔CJK〕
𥨳	AvEeYge_耳革〔ExtB〕
閕	AmEya_門牙〔CJK〕
𨵪	AmEye_門頁〔ExtB〕
䍓	AsEya_罒牙〔ExtA〕
𡈟	AkEmuZg_囗目艮〔ExtB〕
𡨅	AEsiZO_宀尸口〔ExtB〕
𡩇	AEmuZSp_宀目㇗〔ExtB〕
空	AvFg_穴工〔CJK〕
𥩌	AvFgAvFgAvFg_工工工〔ExtB〕
𡨹	AFcAHd_宀寸宀丁〔ExtB〕
𡪫	AFgBoBoZ_宀工日日乚〔ExtB〕
𥨛	AvFsBoHiPkY_穴扌日一勹〔ExtB〕
守	AFc_宀寸〔CJK〕
団	AkFc_囗寸〔CJK〕
囿	AkFDv_囗⺝〔CJK〕
𢜹	AkFDvQi_囗⺝心〔ExtB〕
宥	AFDv_宀⺝〔CJK〕
𠖅	AFDv_冖⺝〔ExtB〕
𩰑	AdFDv_鬥⺝〔ExtB〕
𨴜	AmFDv_門⺝〔ExtB〕
䆜	AvFDv_穴⺝〔ExtA〕
𧟶	AxFsDv_覀月〔ExtB〕
𧟳	AxFsDv_襾月〔ExtB〕
𥨄	AvFgDvXp_穴工⺝攵〔ExtB〕
闞	AmFgEeXp_門工耳攵〔CJK〕
𫁗	AvFsEsiCU_扌尸屮凵〔ExtC〕
𡫉	AFgEeFgXy_宀工耳工又〔ExtB〕
𡩒	AFsEmu_宀龵目〔ExtB〕
𤐍	AsFgEmuWu_罒工目灬〔ExtB〕
鬫	AdFgEeXp_鬥工耳攵〔CJK〕
𡪯	AFgEeXp_宀工耳攵〔ExtB〕
阚	AmFgEeXp_门工耳攵〔CJK〕
䆻	AvFgEeXp_穴工耳攵〔ExtA〕
𧠀	AxFgEeXp_覀工耳攵〔ExtB〕
𡫮	AFgFgDxiXyRnRn_宀工工夕又人人〔ExtB〕
𡫳	AFgFgFgFgCg_宀工工工工〔ExtB〕
𢥜	AFgFgFgFgNrQi_宀工工工工大⺗〔ExtB〕
𢥛	AFgFgFgFgNrQi_宀工工工工大心〔ExtB〕
𡫟	AFgFgFgFgNr_宀工工工工大〔ExtB〕
𡫼	AFgFgFgFgNrTu_宀工工工工大土〔ExtB〕
𢤑	AFgFgFgFgQi_宀工工工工心〔ExtB〕
𡔂	AFgFgFgFgRnVbTu_宀工工工工人丷土〔ExtB〕
𥨨	AvFgFgGb_穴工工貝〔ExtB〕
𥥙	AvFgFi_工力〔ExtB〕
䆢	AvFsFgRn_穴扌人〔ExtA〕
𡫙	AFgFgRnRnXy_宀工工人人又〔ExtB〕
𧟲	AxFsFs_襾〔ExtB〕
宏	AFGsi_宀厶〔CJK〕
𡧇	AFg_宀工〔ExtB〕
𧵿	AFcGb_宀寸貝〔ExtB〕
𢩛	AhuFgGb_户工貝〔ExtB〕
𨶛	AmFgGb_門工貝〔ExtB〕
𤗤	ApFgGb_片工貝〔ExtB〕
𥧡	AvFgGb_穴工貝〔ExtB〕
翝	AFGsiEv_宀厶羽〔CJK〕
𧡃	AFGsiEr_宀厶見〔ExtB〕
𩓘	AFGsiEye_宀厶頁〔ExtB〕
𥨐	AvFgGbJd_工貝刂〔ExtB〕
𠠖	AvFgGbJd_穴工貝刂〔ExtB〕
𥧂	AvFgGbJd_穴工贝刂〔ExtB〕
𡆬	AkFg_囗工〔ExtB〕
閎	AmFGsi_門厶〔CJK〕
闳	AmFGsi_门厶〔CJK〕
䍔	AsFGsi_罒厶〔ExtA〕
䆖	AvFGsi_穴厶〔ExtA〕
𫞹	AvFg_穴〔ExtD〕
窍	AvFgHiZ_穴工一ㄅ〔CJK〕
𨴆	AmFsHd_門扌丁〔ExtB〕
𫁔	AvFgHkGw_穴工匚王〔ExtC〕
穷	AvFi_穴力〔CJK〕
㘞	AkFi_囗力〔ExtA〕
𦌈	AsFsIhNv_罒扌立女〔ExtB〕
㲁	AvFgJx_穴工殳〔ExtA〕
𥦆	AvFsJx_扌殳〔ExtB〕
鵼	AvFgKi_穴工鳥〔CJK〕
䢘	AFcL_宀寸辶〔ExtA〕
𠖁	AFcL_冖寸辶〔ExtB〕
𥦤	AvFsMw_扌未〔ExtB〕
𪥔	AvFgNr_穴工大〔ExtC〕
𫁎	AvFgNzZ_穴工子乚〔ExtC〕
𡧣	AFO_宀口〔ExtB〕
𡧱	AFgO_宀工口〔ExtB〕
𪧊	AFsO_宀扌口〔ExtC〕
𩟸	AFgOAFgOUs_宀工口宀工口〔ExtB〕
𪃜	AFgOKi_宀工口鳥〔ExtB〕
𨳾	AmFO_門口〔ExtB〕
𥩃	AvFsOOOMu_扌口口口木〔ExtB〕
𡨌	AFcOS_宀寸口丨〔ExtB〕
𨜱	AFgOTe_宀工口阝〔ExtB〕
𢾒	AFgOXp_宀工口攴〔ExtB〕
閉	AmFp_門才〔CJK〕
团	AkFp_囗才〔CJK〕
闭	AmFp_门才〔CJK〕
䦑	AmFgRn_門人〔ExtA〕
䆕	AvFgRn_穴人〔ExtA〕
𡆺	AkFs_囗手〔ExtB〕
䦐	AmFs_門手〔ExtA〕
𢪇	ApFs_爿手〔ExtB〕
𥤺	AvFs_手〔ExtB〕
𡧢	AFgVb_宀工八〔ExtB〕
𨴇	AmFgVb_門工丷〔ExtB〕
𡮤	AmFpWi_門才小〔ExtB〕
𡮩	AmFpWiP_門才小丿〔ExtB〕
𥧿	AvFsXzAXy_扌爫冖又〔ExtB〕
𤕳	ApFXD_爿乂丶〔ExtB〕
𥥛	AvFXD_乂丶〔ExtB〕
𢽦	AvFgXp_穴工攴〔ExtB〕
𨗫	AsFXyQiL_罒又心辶〔ExtB〕
𨳧	AmFXy_門又〔ExtB〕
𡇊	AkFYj_囗巾〔ExtB〕
買	AsGb_罒貝〔CJK〕
𪧈	AGa_宀田〔ExtC〕
𡈇	AkGsiAkCj_囗厶囗井〔ExtB〕
𡬏	AGvAGvAGv_宀玉宀玉宀玉〔ExtB〕
𡬀	AGwAGwAGw_宀王宀王宀王〔ExtB〕
㧂	AhuGa_户田〔ExtA〕
𡈵	AkGwAsHiOYi_囗王罒一口〔ExtB〕
𡇍	AkGa_囗田〔ExtB〕
𨳸	AmGa_門田〔ExtB〕
𠖋	AvGa_㓁田〔ExtB〕
賈	AxGb_覀貝〔CJK〕
閴	AmGb_門貝〔CJK〕
𧹒	AsGb_罒贝〔ExtB〕
𥦎	AvGb_貝〔ExtB〕
贾	AxGb_覀贝〔CJK〕
賈	AxGb_覀貝〔兼容文字〕
𥧄	AvGaBoZ_田日乚〔ExtB〕
閞	AmGsiCg_門厶廾〔CJK〕
圗	AkGsiCiAkO_囗厶十囗〔CJK〕
圗	AkGsiCiAkO_囗厶十囗〔兼容增补〕
罼	AsGaCF_罒田艹〔CJK〕
𡈄	AkGsiCiGa_囗厶十田〔ExtB〕
𫔰	AmGsiCg_门厶廾〔ExtC〕
𥦌	AvGwCg_王廾〔ExtB〕
𫟛	AxGaCi_覀田十〔ExtD〕
𢩍	AhuGsiCiO_戶厶十口〔ExtB〕
𫑬	AxGaCgTe_覀田廾阝〔ExtC〕
𡈱	AkGsiCUPYs_囗厶屮凵丿糸〔ExtB〕
𡈫	AkGsiCUYs_囗厶屮凵糸〔ExtB〕
㝙	AGwCv_宀王〔ExtA〕
罷	AsGsiDvUbiUbi_罒厶⺝匕〔CJK〕
羆	AsGsiDvUbiUbiWu_罒厶⺝匕灬〔CJK〕
𧟽	AxGsiDvUbiUbi_襾厶⺼匕〔ExtB〕
𨶙	AmGsiDvUbiUbi_門厶⺝匕〔ExtB〕
㔥	AsGsiDvUbiUbiFi_罒厶⺝匕力〔ExtA〕
𢸇	AsGsiDvUbiUbiFs_罒厶⺼匕手〔ExtB〕
𤳷	AsGsiDvUbiUbiGa_罒厶⺝匕田〔ExtB〕
𠤩	AsGsiDvUbiUbiUb_罒厶⺝匕〔ExtB〕
𤗅	ApGsiDvZ_片厶⺝乚〔ExtB〕
𣢵	AhuGsiEq_戶厶欠〔ExtB〕
䚑	AsGbEr_罒貝見〔ExtA〕
𡩥	AvGsiEv_穴厶羽〔ExtB〕
𡇨	AkGaFi_囗田力〔ExtB〕
圎	AkGsiGb_囗厶貝〔CJK〕
𡪓	AGrGb_宀貝〔ExtB〕
𦌵	AsGaGaGa_罒田田田〔ExtB〕
𦌀	AsGsiGsiGsiRnY_罒厶厶厶人彡〔ExtB〕
𤗲	ApGsiGsiGsiRnY_片厶厶厶人彡〔ExtB〕
𢐭	AGwGwJgJg_宀王王弓弓〔ExtB〕
𨪖	AGwGwJr_冂王王金〔ExtB〕
𡬔	AGbGbJr_宀貝貝金〔ExtB〕
𦌂	AsGaHiCF_罒田一艹〔ExtB〕
𡧹	AGyHi_宀由一〔ExtB〕
𡩞	AvGsiHiLh_穴厶一止〔ExtB〕
𨴱	AmGsiJsi_門厶矢〔ExtB〕
鷶	AsGbKi_罒貝鳥〔CJK〕
𪆲	AxGbKi_覀貝鳥〔ExtB〕
𧔂	AGsiKuKcKc_宀厶牛虫虫〔ExtB〕
𡧷	AGsiKu_宀厶牛〔ExtB〕
𨴍	AmGsiKu_門厶牛〔ExtB〕
𩀺	AsGbKz_罒貝隹〔ExtB〕
寓	AGaLa_宀田⽱〔CJK〕
䦸	AmGaLa_门田⽱〔ExtA〕
𥧆	AvGaLa_田⽱〔ExtB〕
䴁	AGaLaKi_宀田⽱鳥〔ExtA〕
𪄑	AvGsiLKi_穴厶夊鳥〔ExtB〕
𫑈	AGaLaL_宀田⽱辶〔ExtC〕
閮	AmGrL_門壬廴〔CJK〕
𡪾	AGaLaQi_宀田⽱心〔ExtB〕
𥥶	AvGrL_壬廴〔ExtB〕
窠	AvGaMu_穴田木〔CJK〕
梥	AvGsiMu_穴厶木〔CJK〕
𪧌	AGsiMu_宀厶木〔ExtC〕
𨵚	AmGaMu_門田木〔ExtB〕
𤖇	ApGaMu_爿田木〔ExtB〕
𡤔	AsGbNvGsiO_罒貝女厶口〔ExtB〕
𡨒	AGwNr_宀王大〔ExtB〕
囼	AkGsiO_囗厶口〔CJK〕
𠕡	AGsiOQi_冂厶口心〔ExtB〕
窓	AvGsiQi_穴厶心〔CJK〕
𩴬	AsGbQg_罒貝鬼〔ExtB〕
罳	AsGaQi_罒田心〔CJK〕
𠖓	AGaQi_冖田心〔ExtB〕
寳	AGwRWiGb_宀王⺈小貝〔CJK〕
䆓	AvGsiRe_穴厶儿〔ExtA〕
𨳝	AmGr_門壬〔ExtB〕
𫎚	AsGbRS_罒貝⺈亅〔ExtC〕
寳	AGwRWiGb_宀王⺈小貝〔兼容增补〕
𡫷	AGwRWiJr_宀王⺈小金〔ExtB〕
𡪪	AGwRWiNr_宀王⺈小大〔ExtB〕
𡇺	AkGsiReWu_囗厶儿灬〔ExtB〕
𧟺	AxGwRjZd_覀王亽龴〔ExtB〕
閘	AmGs_門甲〔CJK〕
囜	AkGsi_囗厶〔CJK〕
㘡	AkGs_囗甲〔ExtA〕
闸	AmGs_门甲〔CJK〕
㝐	AvGsi_穴厶〔ExtA〕
䆘	AvGs_穴甲〔ExtA〕
