過	EgOL_冎口辶〔CJK〕
𦉲	AvCi_⺳十〔ExtB〕
穽	AvCj_穴井〔CJK〕
宑	ACj_宀井〔CJK〕
𨴒	AmCfJd_門丰刀〔ExtB〕
囲	AkCj_囗井〔CJK〕
𨳩	AmCj_門井〔ExtB〕
窫	AvCfJdNr_穴丰刀大〔CJK〕
㝣	ACfJdNr_宀丰刀大〔ExtA〕
䦬	AmCfJdNr_門丰刀大〔ExtA〕
𨷡	AmCiJgeUh_門十戈韭〔ExtB〕
𥨆	AvCJdXp_穴龶刀攵〔ExtB〕
𨷳	AmCKluHiZWu_門⺿一ㄅ灬〔ExtB〕
𧒡	ACfKcKc_宀丰虫虫〔ExtB〕
𨔍	AsCgL_罒廾辶〔ExtB〕
𪧣	ACLSv_宀艹夂水〔ExtC〕
𨔰	AxCgL_覀廾辶〔ExtB〕
𨳹	AmC_門艹〔ExtB〕
𨳡	AmC_門卝〔ExtB〕
𨴔	AmC_門艸〔ExtB〕
𡚎	AsCgNrHo_罒廾大可〔ExtB〕
𠖉	AChNr_冖廿大〔ExtB〕
𡨏	AChNr_宀廿大〔ExtB〕
𡇦	AkCNv_囗女〔ExtB〕
害	ACfO_宀丰口〔CJK〕
	ACfO_宀丰口〔私用区〕
	ACiO_冂十口〔私用区〕
㝒	ACiO_宀十口〔ExtA〕
𠕛	ACfO_⺆丰口〔ExtB〕
𠱬	ACfO_⺆丰口〔ExtB〕
𪞎	ACiO_⺆十口〔ExtC〕
𡫲	ACfOALO_宀丰口宀夂口〔ExtB〕
𣣶	ACfOEq_宀丰口欠〔ExtB〕
𣎏	AkCiOFDv_囗十口⺝〔ExtB〕
𠢆	ACfOFi_宀丰口力〔ExtB〕
割	ACfOJd_宀丰口刂〔CJK〕
割	ACfOJd_宀丰口刂〔兼容增补〕
𡫴	ACfOJpHiO_宀丰口戊一口〔ExtB〕
㲅	ACfOJx_宀丰口殳〔ExtA〕
固	AkCiO_囗十口〔CJK〕
鶷	ACfOKi_宀丰口鳥〔CJK〕
𫔜	AmCiO_門十口〔ExtC〕
㝬	ACfONf_宀丰口夫〔ExtA〕
𦍀	AsChONfKz_罒廿口夫隹〔ExtB〕
𤖲	ApCiO_片十口〔ExtB〕
𢞩	ACfOQi_宀丰口心〔ExtB〕
𡈅	AkCiORnJ_囗十口人〔ExtB〕
罟	AsCiO_罒十口〔CJK〕
豁	ACfOTv_宀丰口谷〔CJK〕
𨝃	ACfOTe_宀丰口阝〔ExtB〕
𦢽	ACfOTvErr_宀丰口谷肉〔ExtB〕
𥥖	AvCiO_十口〔ExtB〕
𦊙	AvCiO_⺳十口〔ExtB〕
𡮞	ACfOWiP_宀丰口小丿〔ExtB〕
