㧍	<仿搒>
㧎	<揢砑>
㧏	[掆-㧏]
㧐	[㩳-㧐]
㧑	[撝-㧑]
㧒	<𢯮>{抭舀}
㧓	{抓}
㧕	{抑}
㧖	<扼>
㧗	<扺>「抵」
㧙	<捌柲>{𢴩}
㧚	<𢭨>
㧟	[擓-㧟]
㧢	<因>
㧥	{扟}
㧦	<揈>
㧧	<梳>
㧨	<扏>
㧫	<擩>{抪}
㧬	<𢭤㧭𢀜>
㧭	<㧬>
㧰	[擽-㧰]
㧱	[㧱⇀拏挐拿↛拿]
㧵	<抔>
㧶	<鏗>
㧺	<搭搨𩎽>
㧻	<𢽚𧰵>
㧼	<俵>
㧾	{摠總}
㧿	<摐>
㨀	<秉>
㨂	{揀棟}
㨃	<朾>{掁}
㨄	<𠠄挑>
㨇	<搫>
㨈	{擠}
㨉	<抿捪抆>
㨊	<撱𢸦>
㨋	<擆>
㨌	{㝅}
㨍	<幫>
㨎	<擩>{撋}
㨐	<拊>
㨒	<刲>
㨓	<𢭂>
㨔	<撼>
㨕	<攍>{楹}
㨗	[㨗⇀捷]
㨘	{擤}
㨙	<𢭁>
㨛	<掞>
㨞	<𢱢>
㨠	<塓>
㨡	<捆>
㨢	<㱟>
㨣	<擁>
㨤	<擓>
㨥	<抐>
㨦	<㩳>
㨧	<撪>
㨨	<抽>
㨩	<捷>{榳}
㨪	[㨪⇀晃]
㨫	[㩜-㨫]
㨭	<槴>
㨯	<擴>
㨱	<摿摇>「搖」
㨲	<㩍>
㨳	<庋>
㨴	<建>
㨵	<揃>
㨶	<搗>
㨹	<𢴥㩨>
㨺	<捫>
㨻	[㨻-𪮃]<摲>_{擊}
㨼	<掠>
㨽	<副>
㨾	<樣>
㨿	[㨿⇀據]
㩀	「據」
㩁	{搉}
㩃	<搴>_<𢷘𢺦>
㩅	<抽>
㩇	<劃掝>
㩈	{捃}
㩉	<㪧拉拹搨>
㩊	<揎>
㩋	[㩋-𪮋]<㪩𢱩𢸳𢹱>
㩌	<拂>
㩍	<拺㨲>
㩎	<擪>_{擫}
㩒	<擒>_<捦>
㩓	<𢶙>
㩔	<𥴫>
㩕	<拎>
㩗	[㩗擕㩦⇀攜⇋携]
㩘	{檥}
㩙	<塞>
㩛	<摶>
㩜	[㩜-㨫]<攬>_<擥>
㩠	<捊>{摝鏖}
㩣	<揮>
㩤	{敷}
㩥	<攕>
㩦	[㩗擕㩦⇀攜⇋携]
㩧	<𢻭𣀛扑𢹯>
㩨	<㨹>
㩬	<𢹍>
㩭	<攪>
㩮	「攑」_<𢹏>
㩯	<搫>
㩰	<摷>
㩲	<拳>「權」
㩳	[㩳-㧐]<㨦𢱤>
㩴	<攫>
㩶	<𢰀𢲺𢺊>
㩷	<攓>
㩸	{㩹}
㩺	<𤿎>{紕}
㩻	<攰𢻪𤿡>{佹}
㩼	<𢻈>
㩽	<枝𣎴勑𢺷>{敕}
㩿	<㪂>
㪁	<拑>
㪂	<㩿>
㪃	<㪋>
㪄	<𣀣>
㪅	<更>
㪆	<𢻽>
㪈	<𢼟>
㪉	<合>{敆}
㪊	<𣀄>
㪋	<㪃扞捍>_<𢽎>
㪌	<捅>
㪍	<𢾢勃>「*𩣡-悖」
㪎	[㪎-𪯋]
㪏	<𢽛捭>
㪔	<散>_<𢽳>
㪗	{敨}
㪙	{敤}
㪚	[㪚⇀散]
㪛	<抌>
㪜	<捶揣>
㪝	<柬揀>
㪞	<𢯾>
㪟	[㪟⇀敦]
㪠	<鵮>{歉}
㪢	<𢾐>
㪣	<敲>
㪤	<畢>
㪧	<㩉>
㪨	「繕」
㪩	<㩋>
㪯	<舉>
㪰	<齋>
㪶	<斛>
㪷	<斗>
㪸	<斟>
㪺	<𣂏𨟉𨟛>
㪻	<𢍶>
㪾	<㓢㦴>
㪿	{折}
㫀	<鼎>
㫁	<斷>
㫃	<偃>
㫄	<旁>
㫅	<旗>
㫋	<旃>
㫍	<旒㫏>「斿」
㫎	<𣄈幑揮>
㫏	<㫍>
㫑	<旨時>{助}
㫒	<廾>
㫓	<氣>
㫔	<艮>
㫕	<光>
㫖	<旨>
㫗	<厚>_<𣆪>
㫘	<㸓𣆇>
㫚	「昒」
㫜	<暺>{旦}
㫞	<㫦>
㫟	<昖>
㫡	<冬>
㫤	<昶>
㫥	<冥>{瞻昭}
㫦	<㫞>
㫧	<暴>
㫩	<春>
㫪	{春舂}_<𣇃>
㫫	<顯>
㫯	<冒>「𧠊」
㫰	{朗}
㫳	<晨>
㫴	{𥆔}
㫶	<晭>
㫷	<期>
㫹	{昴}
㫺	<昔>
㫼	<晢>
㬁	<𣆗>
㬂	<𣈦>
㬅	<曼>
㬆	<湣>{暋}
㬇	<𥈉𥋂>
㬉	[㬉煗⇀煖暖↛暖]
㬍	<𣌈>{曝}
㬎	<𣊡顯>
㬐	<晉鄑>
㬓	<𣊠>
㬗	<晛>
㬙	<暐>
㬜	<晉>
㬞	<暍>
㬟	<朆>
㬠	<曬>「*煞」
㬡	<昤>
㬢	<曦>
㬤	<𣉓>{昅}
㬥	<暴爆>
㬧	<𦃙>
㬩	<暳>
㬪	<疊>
㬫	<曣>
㬭	<皭>
㬮	<𣋸𣌖>
㬰	<臾>
㬱	<替>
㬲	<𣍙>{添}
㬳	<𦙗>
㬴	<月>
㬵	{皎}「交」（膠）
㬶	<浩>
㬿	<朜>
㭂	{𣏑}
㭃	<綱>
㭇	{杬}
㭉	<釪㭉釫>
㭊	<析>
㭋	<棒>
㭌	<桙>
㭍	{柒漆}
㭎	[棡-㭎]
㭏	[椲-㭏]
㭑	{株}
㭒	<耜>_<梩>
㭓	<閞>{抃拚}
㭔	<櫨>
㭘	{拾}
㭙	<棏樀𣚅㰅>{持}
㭚	<𣖺>
